Empty Cell,Country,Area at risk (km2),Population at risk (millions)
Asia,,,
South Asia,,,
,Bangladesh*†,104 947 (95 386–116 424),106·7 (93·5–119·9)
,India*†,40 856 (34 467–48 496),36·4 (31·6–44·5)
,Nepal,2032 (1648–2705),1·3 (0·8–2·8)
,Sri Lanka,161 (50–423),0·2 (0·0–0·6)
Southeast Asia,,,
,Thailand†,20 075 (15 705–25 333),16·5 (8·7–21·5)
,Malaysia*†,11 886 (7328–20 541),10·2 (9·2–11·0)
,Indonesia†,958 (100–1794),2·6 (0·0–3·8)
,Singapore*,153 (94–288),1·1 (0·8–1·7)
,Cambodia†,2728 (400–5812),0·8 (0·2–1·4)
,Viet Nam,184 (100–362),0·1 (0·0–0·5)
,Myanmar,432 (99–1217),0·0 (0·0–0·1)
,Philippines*,181 (100–300),0·0 (0·0–0·1)
,Laos,466 (100–1409),0·0 (0·0–0·1)
,Timor-Leste†,100 (100–100),0·0 (0·0–0·0)
East Asia,,,
,China,100 (100–100),0·1 (0·1–0·1)
Oceania,,,
Australia and New Zealand,,,
,Australia,44 (44–44),0·0 (0·0–0·0)
Melanesia,,,
,Papua New Guinea,10 (10–10),0·0 (0·0–0·0)
