"Date_Obj","Global_Inbound_Volume","Type"
2016-01-01,4865022,"History"
2016-02-01,5219579,"History"
2016-03-01,4954010,"History"
2016-04-01,4950277,"History"
2016-05-01,5117595,"History"
2016-06-01,5074460,"History"
2016-07-01,5709016,"History"
2016-08-01,5754273,"History"
2016-09-01,5219704,"History"
2016-10-01,5369074,"History"
2016-11-01,4631629,"History"
2016-12-01,4894122,"History"
2017-01-01,5323435,"History"
2017-02-01,4995617,"History"
2017-03-01,5148149,"History"
2017-04-01,5029898,"History"
2017-05-01,5221640,"History"
2017-06-01,5241546,"History"
2017-07-01,5857053,"History"
2017-08-01,5982731,"History"
2017-09-01,5458671,"History"
2017-10-01,5703288,"History"
2017-11-01,5227920,"History"
2017-12-01,5440839,"History"
2018-01-01,5507951,"History"
2018-02-01,5826348,"History"
2018-03-01,5864903,"History"
2018-04-01,5752919,"History"
2018-05-01,5951604,"History"
2018-06-01,6003233,"History"
2018-07-01,6516943,"History"
2018-08-01,6665448,"History"
2018-09-01,6094741,"History"
2018-10-01,6260555,"History"
2018-11-01,5616744,"History"
2018-12-01,5862846,"History"
2019-01-01,6157987,"History"
2019-02-01,6070095,"History"
2019-03-01,6137055,"History"
2019-04-01,6172751,"History"
2019-05-01,6508387,"History"
2019-06-01,6456942,"History"
2019-07-01,6899196,"History"
2019-08-01,7102432,"History"
2019-09-01,6458966,"History"
2019-10-01,6391475,"History"
2019-11-01,6085336,"History"
2019-12-01,6332301,"History"
2020-01-01,6862967,"History"
2020-02-01,2478638,"History"
2020-03-01,1106191,"History"
2020-04-01,246588,"History"
2020-05-01,357357,"History"
2020-06-01,253627,"History"
2020-07-01,461530,"History"
2020-08-01,518566,"History"
2020-09-01,483109,"History"
2020-10-01,390805,"History"
2020-11-01,303712,"History"
2020-12-01,317867,"History"
2021-01-01,296013,"History"
2021-02-01,213205,"History"
2021-03-01,296224,"History"
2021-04-01,295662,"History"
2021-05-01,330216,"History"
2021-06-01,309384,"History"
2021-07-01,334234,"History"
2021-08-01,248113,"History"
2021-09-01,245224,"History"
2021-10-01,222823,"History"
2021-11-01,222767,"History"
2021-12-01,277777,"History"
2022-01-01,320683,"History"
2022-02-01,320263,"History"
2022-03-01,283530,"History"
2022-04-01,237870,"History"
2022-05-01,235955,"History"
2022-06-01,270481,"History"
2022-07-01,300417,"History"
2022-08-01,353354,"History"
2022-09-01,407289,"History"
2022-10-01,455004,"History"
2022-11-01,518559,"History"
2022-12-01,672848,"History"
2023-01-01,899304,"History"
2023-02-01,1194978,"History"
2023-03-01,1813133,"History"
2023-04-01,2495065,"History"
2023-05-01,2909338,"History"
2023-06-01,3174919,"History"
2023-07-01,3742665,"History"
2023-08-01,3843241,"History"
2023-09-01,3686623,"History"
2023-10-01,3941185,"History"
2023-11-01,3629584,"History"
2023-12-01,4132052,"History"
2024-01-01,4063541,"History"
2024-02-01,4423465,"History"
2024-03-01,4212938,"History"
2024-04-01,4407186,"History"
2024-05-01,4644385,"History"
2024-06-01,4740208,"History"
2024-07-01,5447508,"History"
2024-08-01,5552120,"History"
2024-09-01,4954285,"History"
2024-10-01,5250300,"History"
2024-11-01,4738392,"History"
2024-12-01,5064071,"History"
2025-01-01,5613661,"History"
2025-02-01,4913588,"History"
2025-03-01,4997519,"History"
2025-04-01,5350493,"History"
2025-05-01,5492833,"History"
2025-06-01,5459307,"History"
2025-07-01,6071216,"History"
2025-08-01,6167707,"History"
2025-09-01,5497802,"History"
2025-10-01,5940837,"History"
2025-11-01,5444720,"History"
2025-12-01,6188624.41543852,"Forecast"
2026-01-01,6826484.76487138,"Forecast"
2026-02-01,6515658.70563019,"Forecast"
2026-03-01,6429563.53428485,"Forecast"
2026-04-01,6106720.82890272,"Forecast"
2026-05-01,6753037.87747828,"Forecast"
